"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"latency_perprobe","endpoint","mistral","t","GET","500","15","565","65","4933",,,
"latency_perprobe","endpoint","gemini","v","GET","200","105","205","120","366",,,
"latency_perprobe","endpoint","claude","c","GET","404","229","113","97","235",,,
"latency_perprobe","endpoint","claude","c","GET","503","8","198","199","225",,,
"latency_perprobe","endpoint","gemini","c","HEAD","302","6","657","617","771",,,
"latency_perprobe","endpoint","gemini","t","GET","503","2","229","215","243",,,
"latency_perprobe","endpoint","deepseek","c","GET","400","48","115","95","199",,,
"latency_perprobe","endpoint","gpt","v","GET","503","8","206","201","258",,,
"latency_perprobe","endpoint","deepseek","t","GET","403","39","333","262","718",,,
"latency_perprobe","endpoint","gemini","v","OPTIONS","ERR","1060","1","0","1",,,
"latency_perprobe","endpoint","gpt","c","HEAD","ERR","63","1474","30","15096",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","401","248","180","114","565",,,
"latency_perprobe","endpoint","gpt","v","GET","429","42","42","35","89",,,
"latency_perprobe","endpoint","mistral","t","GET","429","41","206","107","445",,,
"latency_perprobe","endpoint","gemini","v","GET","308","4","80","80","83",,,
"latency_perprobe","endpoint","gemini","c","GET","429","91","42","35","85",,,
"latency_perprobe","endpoint","gemini","v","GET","202","2","56","41","72",,,
"latency_perprobe","endpoint","claude","c","HEAD","401","274","211","155","502",,,
"latency_perprobe","endpoint","gpt","t","GET","ERR","188","458","1","204",,,
"latency_perprobe","endpoint","deepseek","c","OPTIONS","ERR","826","1","1","1",,,
"latency_perprobe","endpoint","gemini","t","HEAD","404","231","190","174","400",,,
"latency_perprobe","endpoint","mistral","t","HEAD","403","77","223","202","463",,,
"latency_perprobe","endpoint","gpt","c","OPTIONS","ERR","1026","1","0","1",,,
"latency_perprobe","endpoint","gemini","t","HEAD","500","2","786","769","804",,,
"latency_perprobe","endpoint","claude","c","HEAD","429","8","60","38","137",,,
"latency_perprobe","endpoint","gemini","t","HEAD","401","276","207","167","476",,,
"latency_perprobe","endpoint","deepseek","t","GET","400","31","128","98","204",,,
"latency_perprobe","endpoint","mistral","c","GET","404","167","112","90","248",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","403","89","255","240","679",,,
"latency_perprobe","endpoint","gemini","v","HEAD","401","253","148","128","330",,,
"latency_perprobe","endpoint","gpt","c","GET","503","1","265","265","265",,,
"latency_perprobe","endpoint","gemini","v","HEAD","404","306","157","122","339",,,
"latency_perprobe","endpoint","gpt","c","HEAD","405","91","310","252","847",,,
"latency_perprobe","endpoint","gemini","t","HEAD","200","76","359","171","1157",,,
"latency_perprobe","endpoint","claude","c","GET","403","26","182","148","488",,,
"latency_perprobe","endpoint","mistral","t","GET","422","5","187","170","235",,,
"latency_perprobe","endpoint","mistral","t","GET","400","38","123","107","239",,,
"latency_perprobe","endpoint","mistral","c","HEAD","405","56","168","106","499",,,
"latency_perprobe","endpoint","mistral","v","GET","ERR","191","1325","1","15002",,,
"latency_perprobe","endpoint","deepseek","c","HEAD","403","53","439","320","1115",,,
"latency_perprobe","endpoint","mistral","t","OPTIONS","ERR","1062","1","0","1",,,
"latency_perprobe","endpoint","deepseek","v","GET","403","65","636","239","2845",,,
"latency_perprobe","endpoint","mistral","v","GET","405","14","102","97","173",,,
"latency_perprobe","endpoint","deepseek","v","GET","405","44","123","94","208",,,
"latency_perprobe","endpoint","claude","v","GET","500","2","183","177","189",,,
"latency_perprobe","endpoint","gemini","c","HEAD","429","5","59","34","101",,,
"latency_perprobe","endpoint","gpt","c","HEAD","404","271","275","185","834",,,
"latency_perprobe","endpoint","deepseek","t","GET","404","173","122","95","281",,,
"latency_perprobe","endpoint","gpt","v","HEAD","405","100","143","102","365",,,
"latency_perprobe","endpoint","claude","t","GET","400","41","145","172","198",,,
"latency_perprobe","endpoint","gemini","v","GET","403","61","261","239","658",,,
"latency_perprobe","endpoint","deepseek","c","HEAD","ERR","88","3359","75","15011",,,
"latency_perprobe","endpoint","gpt","c","GET","403","47","268","231","565",,,
"latency_perprobe","endpoint","deepseek","t","GET","200","70","269","98","1312",,,
